index,流速 （节）,流向 - 去向
2021-01-01 00:00:00,0.91,259
2021-01-01 01:00:00,0.93,260
2021-01-01 02:00:00,0.91,260
2021-01-01 03:00:00,0.9,260
2021-01-01 04:00:00,0.89,258
2021-01-01 05:00:00,0.87,256
2021-01-01 06:00:00,0.89,256
2021-01-01 07:00:00,0.94,257
2021-01-01 08:00:00,0.98,257
2021-01-01 09:00:00,1.0,256
2021-01-01 10:00:00,1.0,255
2021-01-01 11:00:00,0.95,256
2021-01-01 12:00:00,0.89,256
2021-01-01 13:00:00,0.84,255
2021-01-01 14:00:00,0.77,253
2021-01-01 15:00:00,0.7,249
2021-01-01 16:00:00,0.65,244
2021-01-01 17:00:00,0.62,239
2021-01-01 18:00:00,0.62,237
2021-01-01 19:00:00,0.67,237
2021-01-01 20:00:00,0.73,241
2021-01-01 21:00:00,0.81,243
2021-01-01 22:00:00,0.88,246
2021-01-01 23:00:00,0.93,249
2021-01-02 00:00:00,0.97,253
2021-01-02 01:00:00,0.99,256
2021-01-02 02:00:00,0.98,258
2021-01-02 03:00:00,0.97,259
2021-01-02 04:00:00,0.95,259
2021-01-02 05:00:00,0.92,260
2021-01-02 06:00:00,0.91,260
2021-01-02 07:00:00,0.92,260
2021-01-02 08:00:00,0.94,261
2021-01-02 09:00:00,0.97,260
2021-01-02 10:00:00,0.98,257
2021-01-02 11:00:00,0.96,256
2021-01-02 12:00:00,0.93,256
2021-01-02 13:00:00,0.88,256
2021-01-02 14:00:00,0.81,254
2021-01-02 15:00:00,0.74,252
2021-01-02 16:00:00,0.66,248
2021-01-02 17:00:00,0.59,245
2021-01-02 18:00:00,0.56,240
2021-01-02 19:00:00,0.59,237
2021-01-02 20:00:00,0.64,237
2021-01-02 21:00:00,0.7,238
2021-01-02 22:00:00,0.8,239
2021-01-02 23:00:00,0.87,240
2021-01-03 00:00:00,0.91,243
2021-01-03 01:00:00,0.95,247
2021-01-03 02:00:00,0.96,251
2021-01-03 03:00:00,0.97,252
2021-01-03 04:00:00,0.96,254
2021-01-03 05:00:00,0.94,255
2021-01-03 06:00:00,0.93,255
2021-01-03 07:00:00,0.92,256
2021-01-03 08:00:00,0.91,258
2021-01-03 09:00:00,0.93,260
2021-01-03 10:00:00,0.94,261
2021-01-03 11:00:00,0.93,262
2021-01-03 12:00:00,0.9,264
2021-01-03 13:00:00,0.85,265
2021-01-03 14:00:00,0.78,265
2021-01-03 15:00:00,0.69,265
2021-01-03 16:00:00,0.6,260
2021-01-03 17:00:00,0.52,252
2021-01-03 18:00:00,0.47,244
2021-01-03 19:00:00,0.48,238
2021-01-03 20:00:00,0.52,238
2021-01-03 21:00:00,0.57,240
